Symbol	Name
AAPL	Apple, Inc.
ATVI	Activision Blizzard, Inc.
ADBE	Adobe Systems Incorporated
ALTR	Altera Corporation
ADI	Analog Devices, Inc.
AMAT	Applied Materials, Inc.
ADSK	Autodesk, Inc.
ADP	Automatic Data Processing, Inc.
BRCM	Broadcom Corporation
CA	CA Inc.
CERN	Cerner Corporation
CSCO	Cisco Systems, Inc.
CTXS	Citrix Systems, Inc.
CTSH	Cognizant Technology Solutions Corporation
FB	Facebook, Inc.
FISV	Fiserv, Inc.
GOOG	Google, Inc.
INTC	Intel Corporation
INTU	Intuit Inc.
LLTC	Linear Technology Corporation
MSFT	Microsoft Corporation
MU	Micron Technology, Inc.
NTAP	NetApp, Inc.
NVDA	NVIDIA Corporation
QCOM	QUALCOMM Incorporated
SNDK	SanDisk Corporation
SYMC	Symantec Corporation
TXN	Texas Instruments Incorporated
TRIP	TripAdvisor, Inc.
VRSK	Verisk Analytics, Inc.
WDC	Western Digital Corporation
XLNX	Xilinx, Inc.
YHOO	Yahoo! Inc.
